&a / �;I1 / %
2.736;1.0
2.733;1.0
2.731;1.0
2.728;1.0
2.725;0.9
2.723;0.9
2.720;0.9
2.717;0.9
2.715;0.9
2.712;0.9
2.709;0.9
2.707;0.9
2.704;0.9
2.701;0.9
2.699;0.8
2.696;0.8
2.693;0.8
2.691;0.9
2.688;0.8
2.685;0.8
2.683;0.8
2.680;0.9
2.677;0.8
2.675;0.9
2.672;0.8
2.669;0.8
2.667;0.8
2.664;0.9
2.661;0.8
2.659;0.8
2.656;0.8
2.653;0.9
2.651;0.8
2.648;0.8
2.645;0.8
2.643;0.8
2.640;0.8
2.637;0.8
2.635;0.8
2.632;0.8
2.629;0.8
2.627;0.8
2.624;0.8
2.621;0.8
2.619;0.8
2.616;0.8
2.613;0.8
2.610;0.8
2.608;0.8
2.605;0.8
2.602;0.8
2.600;0.8
2.597;0.8
2.594;0.8
2.592;0.8
2.589;0.8
2.586;0.8
2.584;0.8
2.581;0.7
2.578;0.8
2.576;0.8
2.573;0.8
2.570;0.8
2.568;0.8
2.565;0.8
2.562;0.8
2.560;0.8
2.557;0.8
2.554;0.8
2.552;0.8
2.549;0.8
2.546;0.8
2.544;0.8
2.541;0.8
2.538;0.8
2.536;0.8
2.533;0.8
2.530;0.8
2.528;0.8
2.525;0.8
2.522;0.8
2.520;0.8
2.517;0.8
2.514;0.8
2.512;0.8
2.509;0.8
2.506;0.8
2.504;0.8
2.501;0.8
2.498;0.8
2.496;0.8
2.493;0.8
2.490;0.8
2.488;0.8
2.485;0.8
2.482;0.8
2.480;0.8
2.477;0.8
2.474;0.8
2.472;0.8
2.469;0.8
2.466;0.8
2.464;0.8
2.461;0.8
2.458;0.8
2.456;0.8
2.453;0.8
2.450;0.8
2.448;0.8
2.445;0.9
2.442;0.9
2.440;0.9
2.437;0.9
2.434;0.9
2.432;0.8
2.429;0.8
2.426;0.9
2.424;0.9
2.421;0.8
2.418;0.8
2.416;0.8
2.413;0.8
2.410;0.8
2.408;0.9
2.405;0.9
2.402;0.9
2.400;0.9
2.397;0.9
2.394;0.8
2.392;0.8
2.389;0.8
2.386;0.9
2.384;0.9
2.381;0.9
2.378;0.9
2.376;0.9
2.373;0.9
2.370;0.9
2.368;0.9
2.365;0.9
2.362;0.9
2.360;0.9
2.357;0.9
2.354;0.9
2.352;0.9
2.349;0.9
2.346;0.9
2.344;0.9
2.341;0.9
2.338;0.9
2.336;0.9
2.333;0.9
2.330;0.9
2.328;0.9
2.325;0.9
2.322;0.9
2.320;0.9
2.317;0.9
2.314;0.9
2.312;0.9
2.309;0.9
2.306;0.9
2.304;0.9
2.301;0.9
2.298;0.9
2.296;0.9
2.293;0.9
2.290;0.9
2.288;0.9
2.285;1.0
2.282;0.9
2.280;0.9
2.277;0.9
2.274;0.9
2.272;0.9
2.269;0.9
2.266;0.9
2.264;1.0
2.261;0.9
2.258;0.9
2.256;0.9
2.253;1.0
2.250;1.0
2.248;1.0
2.245;1.0
2.242;1.0
2.240;1.0
2.237;1.0
2.234;1.0
2.231;1.0
2.229;1.0
2.226;1.0
2.223;0.9
2.221;0.9
2.218;0.9
2.215;0.9
2.213;0.9
2.210;0.9
2.207;0.9
2.205;0.9
2.202;0.9
2.199;1.0
2.197;1.0
2.194;1.0
2.191;1.0
2.189;1.0
2.186;1.0
2.183;1.0
2.181;1.0
2.178;1.0
2.175;1.0
2.173;1.0
2.170;1.0
2.167;1.0
2.165;1.0
2.162;1.0
2.159;1.0
2.157;1.0
2.154;1.0
2.151;1.0
2.149;1.0
2.146;1.0
2.143;1.0
2.141;1.0
2.138;1.0
2.135;1.0
2.133;1.0
2.130;1.0
2.127;1.0
2.125;1.0
2.122;1.0
2.119;1.0
2.117;1.0
2.114;1.0
2.111;1.0
2.109;1.0
2.106;1.0
2.103;1.0
2.101;1.0
2.098;1.0
2.095;1.0
2.093;1.0
2.090;1.0
2.087;1.0
2.085;1.0
2.082;1.0
2.079;1.0
2.077;1.0
2.074;1.0
2.071;1.0
2.069;1.0
2.066;1.0
2.063;1.0
2.061;1.0
2.058;1.0
2.055;1.0
2.053;1.0
2.050;1.0
2.047;1.0
2.045;1.0
2.042;1.0
2.039;1.0
2.037;1.0
2.034;1.0
2.031;1.0
2.029;1.0
2.026;1.0
2.023;1.0
2.021;1.0
2.018;1.0
2.015;1.0
2.013;1.0
2.010;1.0
2.007;1.0
2.005;1.0
2.002;1.0
1.999;1.0
1.997;1.0
1.994;1.0
1.991;1.0
1.989;1.0
1.986;1.0
1.983;1.0
1.980;1.0
1.978;1.0
1.975;1.0
1.972;1.0
1.970;1.0
1.967;1.0
1.964;1.0
1.962;1.0
1.959;1.0
1.956;1.0
1.954;1.0
1.951;1.0
1.948;1.0
1.946;1.0
1.943;1.0
1.940;1.0
1.938;1.0
1.935;1.0
1.932;1.0
1.930;1.0
1.927;1.0
1.924;1.0
1.922;1.0
1.919;1.0
1.916;1.0
1.914;1.0
1.911;1.0
1.908;1.0
1.906;1.0
1.903;1.0
1.900;1.0
1.898;1.0
1.895;1.0
1.892;1.0
1.890;1.0
1.887;1.0
1.884;1.0
1.882;1.0
1.879;1.0
1.876;1.0
1.874;1.0
1.871;1.0
1.868;1.0
1.866;1.0
1.863;1.0
1.860;1.0
1.858;1.0
1.855;1.0
1.852;1.0
1.850;1.0
1.847;1.0
1.844;0.9
1.842;1.0
1.839;1.0
1.836;1.0
1.834;1.0
1.831;1.0
1.828;1.0
1.826;1.0
1.823;1.0
1.820;1.0
1.818;1.0
1.815;1.0
1.812;1.0
1.810;1.0
1.807;1.0
1.804;1.0
1.802;1.0
1.799;1.0
1.796;1.0
1.794;1.0
1.791;1.0
1.788;1.0
1.786;1.0
1.783;1.0
1.780;1.0
1.778;1.0
1.775;1.0
1.772;1.0
1.769;1.0
1.767;1.0
1.764;1.0
1.761;1.1
1.759;1.1
1.756;1.1
1.753;1.1
1.751;1.1
1.748;1.1
1.745;1.1
1.743;1.1
1.740;1.0
1.737;1.0
1.735;1.0
1.732;1.0
1.729;1.0
1.727;1.0
1.724;1.0
1.721;1.0
1.719;1.0
1.716;1.0
1.713;1.0
1.711;1.0
1.708;1.0
1.705;1.0
1.703;1.0
1.700;1.0
1.697;1.0
1.695;1.0
1.692;1.0
1.689;1.0
1.687;1.0
1.684;1.0
1.681;1.0
1.679;1.0
1.676;1.0
1.673;1.0
1.671;1.0
1.668;1.0
1.665;1.0
1.663;1.0
1.660;1.0
1.657;1.0
1.655;1.0
1.652;1.0
1.649;1.0
1.647;1.0
1.644;1.0
1.641;1.0
1.639;1.0
1.636;1.0
1.633;1.0
1.631;1.0
1.628;1.0
1.625;1.0
1.623;1.0
1.620;1.0
1.617;1.0
1.615;1.0
1.612;1.0
1.609;1.0
1.607;1.0
1.604;1.0
1.601;1.0
1.599;1.0
1.596;1.0
1.593;1.0
1.591;1.0
1.588;1.0
1.585;1.0
1.582;1.0
1.580;1.0
1.577;1.0
1.574;1.0
1.572;1.0
1.569;1.0
1.566;1.0
1.564;1.0
1.561;1.0
1.558;1.0
1.556;1.0
1.553;1.0
1.550;1.0
1.548;1.0
1.545;1.0
1.542;1.0
1.540;1.0
1.537;1.0
1.534;1.0
1.532;1.0
1.529;1.0
1.526;1.0
1.524;1.0
1.521;1.0
1.518;1.0
