Lambda / nm,U_I_0 / mV,U_0 / V,U_G / V,Delta U_G,U_Ph,Delta U_Ph,VF
405,-9.3,1.474,0.0007,0.0005,4.00,0.01,-9
,,,0.078,0.005,3.62,0.01,
,,,0.184,0.005,3.06,0.01,
,,,0.304,0.005,2.46,0.03,
,,,0.429,0.005,1.90,0.03,
,,,0.587,0.005,1.30,0.01,
,,,0.724,0.005,0.89,0.01,
,,,0.881,0.005,0.57,0.01,
,,,1.064,0.005,0.30,0.01,
,,,1.214,0.005,0.15,0.01,
,,,1.344,0.005,0.054,0.001,
,,,1.396,0.005,0.024,0.001,
,,,1.444,0.005,0.0054,0.0001,
,,,1.477,0.005,-0.0014,0.0001,
,,,1.532,0.005,-0.0061,0.0001,
,,,1.627,0.005,-0.0078,0.0001,
,,,2.180,0.005,-0.0093,0.0001,
