&b / ;R_0 / 1/s
2.0;34.0
2.1;31.6
2.2;30.5
2.3;28.9
2.4;29.6
2.5;33.0
2.6;28.8
2.7;32.4
2.8;33.7
2.9;33.6
3.0;33.0
3.1;32.1
3.2;38.1
3.3;46.3
3.4;108.6
3.5;312.7
3.6;566.8
3.7;797.4
3.8;982.7
3.9;1064.1
4.0;1162.7
4.1;1219.8
4.2;1275.1
4.3;1294.7
4.4;1332.7
4.5;1309.3
4.6;1368.1
4.7;1332.0
4.8;1377.5
4.9;1344.1
5.0;1354.3
5.1;1338.8
5.2;1377.3
5.3;1336.3
5.4;1361.3
5.5;1353.6
5.6;1392.5
5.7;1374.6
5.8;1417.5
5.9;1390.8
6.0;1406.8
6.1;1389.7
6.2;1414.4
6.3;1398.8
6.4;1435.5
6.5;1387.9
6.6;1398.3
6.7;1366.6
6.8;1401.7
6.9;1365.9
7.0;1381.0
7.1;1360.6
7.2;1419.9
7.3;1418.0
7.4;1439.7
7.5;1416.5
7.6;1430.4
7.7;1426.0
7.8;1399.6
7.9;1380.6
8.0;1373.5
8.1;1343.1
8.2;1313.5
8.3;1269.1
8.4;1267.6
8.5;1246.9
8.6;1250.7
8.7;1212.5
8.8;1225.4
8.9;1224.9
9.0;1191.8
9.1;1170.8
9.2;1154.6
9.3;1056.1
9.4;1038.9
9.5;947.2
9.6;916.1
9.7;867.1
9.8;838.6
9.9;811.2
10.0;809.9
10.1;786.6
10.2;801.2
10.3;793.9
10.4;790.7
10.5;790.8
10.6;844.9
10.7;906.5
10.8;963.5
10.9;965.8
11.0;1114.1
11.1;1230.6
11.2;1212.5
11.3;1025.0
11.4;870.2
11.5;760.9
11.6;720.3
11.7;686.2
11.8;670.2
11.9;635.5
12.0;645.7
12.1;644.5
12.2;657.2
12.3;688.7
12.4;813.8
12.5;1176.0
12.6;1541.6
12.7;1666.1
12.8;1783.1
12.9;2071.7
13.0;2378.9
13.1;2250.2
13.2;1984.3
13.3;1386.6
13.4;1001.4
13.5;730.8
13.6;614.3
13.7;564.9
13.8;551.8
13.9;515.9
14.0;517.0
14.1;511.3
14.2;509.4
14.3;506.6
14.4;508.0
14.5;510.2
14.6;514.7
14.7;506.4
14.8;674.3
14.9;1301.3
15.0;1969.3
15.1;2199.8
15.2;2067.2
15.3;1592.7
15.4;1074.2
15.5;662.0
15.6;450.3
15.7;386.4
15.8;396.1
15.9;357.5
16.0;374.2
16.1;347.6
16.2;346.8
16.3;345.1
16.4;346.3
16.5;320.3
16.6;326.6
16.7;304.1
16.8;319.9
16.9;316.6
17.0;328.9
17.1;334.9
17.2;355.4
17.3;335.9
17.4;317.9
17.5;294.9
17.6;286.2
17.7;278.6
17.8;279.1
17.9;262.0
18.0;270.2
18.1;249.8
18.2;254.6
18.3;253.8
18.4;243.7
18.5;238.6
18.6;248.6
18.7;231.8
18.8;237.2
18.9;216.3
19.0;201.1
19.1;206.3
19.2;196.4
19.3;196.4
19.4;190.9
19.5;177.9
19.6;185.1
19.7;174.0
19.8;177.5
19.9;190.7
20.0;181.3
20.1;180.6
20.2;170.9
20.3;170.9
20.4;167.0
20.5;160.6
20.6;158.5
20.7;156.2
20.8;157.6
20.9;151.8
21.0;157.3
21.1;146.3
21.2;152.4
21.3;156.3
21.4;153.1
21.5;151.3
21.6;146.2
21.7;144.0
21.8;145.3
21.9;171.6
22.0;189.0
22.1;195.1
22.2;182.5
22.3;158.4
22.4;152.3
22.5;147.0
22.6;173.1
22.7;252.7
22.8;301.9
22.9;273.9
23.0;216.3
23.1;152.6
23.2;143.9
23.3;130.8
23.4;134.7
23.5;127.0
23.6;132.7
23.7;130.8
23.8;128.8
23.9;120.1
24.0;119.9
24.1;117.5
24.2;117.9
24.3;123.9
24.4;125.4
24.5;121.0
24.6;116.0
24.7;114.5
24.8;111.8
24.9;113.5
25.0;114.9
