n_1;N_1
0;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0
10;0
11;0
12;0
13;0
14;0
15;0
16;0
17;0
18;0
19;0
20;1
21;0
22;0
23;0
24;0
25;0
26;1
27;1
28;0
29;2
30;3
31;3
32;3
33;7
34;3
35;4
36;7
37;10
38;9
39;13
40;16
41;7
42;18
43;19
44;28
45;22
46;52
47;60
48;66
49;94
50;116
51;113
52;117
53;135
54;125
55;123
56;115
57;110
58;81
59;80
60;71
61;54
62;38
63;24
64;34
65;18
66;12
67;12
68;10
69;14
70;10
71;14
72;14
73;14
74;13
75;9
76;10
77;10
78;7
79;8
80;13
81;11
82;10
83;14
84;4
85;19
86;9
87;9
88;9
89;9
90;13
91;12
92;6
93;10
94;20
95;10
96;10
97;14
98;11
99;14
100;12
101;19
102;16
103;12
104;20
105;23
106;21
107;24
108;18
109;24
110;14
111;20
112;23
113;14
114;23
115;26
116;30
117;23
118;14
119;21
120;21
121;21
122;20
123;31
124;52
125;53
126;49
127;86
128;66
129;76
130;66
131;59
132;65
133;53
134;51
135;50
136;65
137;99
138;137
139;157
140;173
141;167
142;171
143;161
144;98
145;100
146;67
147;62
148;43
149;21
150;17
151;24
152;19
153;8
154;10
155;13
156;8
157;11
158;9
159;8
160;14
161;8
162;10
163;8
164;16
165;5
166;10
167;14
168;10
169;8
170;10
171;8
172;4
173;8
174;5
175;13
176;12
177;8
178;9
179;10
180;10
181;9
182;6
183;8
184;16
185;13
186;7
187;11
188;7
189;5
190;10
191;6
192;11
193;11
194;8
195;2
196;9
197;8
198;6
199;10
200;7
201;7
202;7
203;9
204;12
205;7
206;11
207;11
208;15
209;7
210;4
211;6
212;6
213;6
214;4
215;4
216;6
217;7
218;3
219;11
220;8
221;6
222;4
223;7
224;15
225;7
226;9
227;3
228;4
229;10
230;9
231;7
232;8
233;3
234;8
235;9
236;8
237;10
238;4
239;4
240;3
241;9
242;7
243;3
244;8
245;4
246;11
247;4
248;10
249;6
250;2
251;3
252;7
253;3
254;3
255;7
256;0
257;5
258;3
259;5
260;3
261;5
262;5
263;3
264;7
265;10
266;7
267;3
268;2
269;4
270;7
271;5
272;1
273;5
274;8
275;5
276;1
277;1
278;5
279;3
280;5
281;7
282;3
283;5
284;4
285;3
286;4
287;5
288;4
289;6
290;4
291;3
292;5
293;3
294;1
295;2
296;4
297;7
298;4
299;6
300;5
301;2
302;3
303;2
304;7
305;3
306;2
307;1
308;8
309;3
310;7
311;12
312;5
313;11
314;2
315;18
316;7
317;14
318;25
319;34
320;46
321;66
322;106
323;109
324;108
325;149
326;97
327;109
328;101
329;71
330;62
331;34
332;16
333;16
334;11
335;4
336;3
337;1
338;1
339;1
340;2
341;1
342;0
343;1
344;1
345;0
346;1
347;2
348;3
349;1
350;3
351;1
352;0
353;3
354;3
355;0
356;2
357;9
358;7
359;14
360;13
361;8
362;21
363;21
364;16
365;16
366;12
367;14
368;7
369;11
370;10
371;6
372;5
373;3
374;4
375;1
376;1
377;0
378;0
379;0
380;0
381;0
382;0
383;0
384;0
385;0
386;0
387;0
388;0
389;0
390;1
391;0
392;0
393;0
394;0
395;1
396;0
397;0
398;0
399;0
400;0
401;0
402;0
403;0
404;0
405;0
406;0
407;0
408;0
409;0
410;0
411;1
412;0
413;0
414;0
415;0
416;0
417;0
418;0
419;0
420;0
421;0
422;0
423;0
424;0
425;0
426;0
427;0
428;0
429;1
430;0
431;0
432;0
433;0
434;0
435;0
436;0
437;0
438;0
439;0
440;0
441;0
442;0
443;0
444;0
445;0
446;0
447;0
448;0
449;0
450;0
451;0
452;0
453;0
454;0
455;0
456;0
457;0
458;0
459;0
460;0
461;0
462;0
463;0
464;0
465;0
466;0
467;0
468;0
469;0
470;0
471;0
472;0
473;0
474;0
475;0
476;0
477;0
478;0
479;0
480;0
481;0
482;0
483;0
484;0
485;0
486;0
487;0
488;0
489;0
490;0
491;0
492;0
493;0
494;0
495;0
496;0
497;0
498;0
499;0
500;0
501;0
502;0
503;0
504;0
505;0
506;0
507;0
508;0
509;0
510;0
511;0
