n_1;N_1
0;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0
10;0
11;0
12;0
13;0
14;0
15;0
16;0
17;2
18;0
19;0
20;0
21;0
22;0
23;0
24;0
25;0
26;0
27;0
28;0
29;1
30;2
31;3
32;1
33;8
34;2
35;7
36;4
37;8
38;8
39;6
40;13
41;14
42;14
43;13
44;12
45;9
46;14
47;19
48;18
49;21
50;20
51;22
52;16
53;20
54;26
55;13
56;24
57;20
58;28
59;26
60;16
61;18
62;15
63;21
64;18
65;23
66;30
67;20
68;21
69;17
70;20
71;20
72;20
73;22
74;33
75;25
76;30
77;28
78;28
79;25
80;25
81;33
82;26
83;27
84;31
85;24
86;24
87;28
88;30
89;22
90;32
91;17
92;25
93;31
94;34
95;23
96;29
97;34
98;27
99;40
100;40
101;37
102;39
103;33
104;40
105;43
106;49
107;37
108;39
109;36
110;43
111;47
112;42
113;45
114;49
115;54
116;56
117;52
118;57
119;77
120;101
121;105
122;120
123;169
124;224
125;283
126;338
127;339
128;400
129;389
130;369
131;366
132;333
133;279
134;255
135;255
136;208
137;205
138;190
139;162
140;128
141;119
142;99
143;108
144;115
145;143
146;189
147;248
148;368
149;486
150;597
151;736
152;735
153;722
154;600
155;550
156;401
157;311
158;262
159;162
160;130
161;89
162;72
163;58
164;38
165;39
166;33
167;40
168;50
169;79
170;89
171;102
172;150
173;206
174;262
175;334
176;369
177;424
178;368
179;353
180;312
181;274
182;253
183;204
184;160
185;109
186;80
187;56
188;40
189;29
190;22
191;20
192;19
193;23
194;14
195;20
196;11
197;16
198;20
199;28
200;20
201;43
202;42
203;48
204;48
205;48
206;34
207;41
208;46
209;39
210;29
211;26
212;12
213;14
214;12
215;9
216;8
217;10
218;6
219;13
220;6
221;9
222;12
223;8
224;8
225;10
226;8
227;7
228;15
229;16
230;5
231;6
232;7
233;10
234;9
235;5
236;6
237;11
238;13
239;7
240;6
241;4
242;10
243;7
244;4
245;9
246;11
247;5
248;12
249;8
250;7
251;14
252;4
253;5
254;4
255;6
256;8
257;2
258;5
259;5
260;5
261;6
262;3
263;4
264;6
265;6
266;4
267;7
268;8
269;2
270;3
271;4
272;8
273;5
274;5
275;2
276;4
277;4
278;6
279;3
280;2
281;12
282;5
283;5
284;3
285;6
286;5
287;5
288;2
289;6
290;3
291;3
292;5
293;3
294;8
295;3
296;0
297;5
298;6
299;5
300;3
301;6
302;1
303;3
304;5
305;4
306;3
307;2
308;6
309;1
310;5
311;1
312;3
313;2
314;0
315;4
316;2
317;3
318;1
319;2
320;4
321;3
322;3
323;5
324;3
325;5
326;4
327;4
328;3
329;2
330;3
331;1
332;3
333;4
334;1
335;0
336;3
337;3
338;4
339;3
340;3
341;1
342;3
343;0
344;2
345;2
346;2
347;0
348;3
349;1
350;1
351;1
352;1
353;0
354;3
355;4
356;3
357;1
358;0
359;1
360;1
361;3
362;1
363;2
364;2
365;3
366;2
367;2
368;3
369;2
370;1
371;2
372;2
373;1
374;0
375;2
376;1
377;2
378;1
379;0
380;0
381;1
382;0
383;0
384;2
385;0
386;1
387;1
388;2
389;1
390;2
391;1
392;0
393;0
394;1
395;0
396;0
397;0
398;0
399;1
400;0
401;2
402;0
403;0
404;2
405;0
406;1
407;0
408;0
409;1
410;0
411;1
412;1
413;1
414;0
415;0
416;0
417;1
418;0
419;1
420;1
421;0
422;0
423;1
424;0
425;0
426;0
427;0
428;0
429;0
430;0
431;0
432;1
433;0
434;0
435;0
436;0
437;0
438;0
439;0
440;0
441;0
442;0
443;0
444;0
445;0
446;0
447;0
448;0
449;0
450;0
451;0
452;0
453;0
454;0
455;0
456;0
457;0
458;0
459;0
460;1
461;0
462;0
463;0
464;0
465;0
466;0
467;0
468;0
469;0
470;0
471;0
472;0
473;0
474;0
475;0
476;0
477;0
478;0
479;0
480;0
481;0
482;0
483;0
484;0
485;0
486;0
487;0
488;0
489;0
490;0
491;0
492;0
493;0
494;0
495;0
496;0
497;0
498;0
499;0
500;0
501;0
502;0
503;0
504;0
505;0
506;0
507;0
508;0
509;0
510;0
511;3
