n_1;N_1
0;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0
10;0
11;0
12;0
13;0
14;0
15;1
16;0
17;3
18;0
19;0
20;0
21;0
22;1
23;0
24;1
25;0
26;1
27;7
28;9
29;7
30;12
31;13
32;22
33;22
34;32
35;26
36;41
37;49
38;41
39;50
40;28
41;68
42;69
43;82
44;82
45;73
46;93
47;73
48;99
49;77
50;88
51;85
52;91
53;87
54;90
55;99
56;82
57;91
58;110
59;104
60;109
61;92
62;108
63;87
64;93
65;99
66;96
67;88
68;109
69;97
70;96
71;111
72;121
73;135
74;116
75;126
76;106
77;120
78;112
79;120
80;142
81;119
82;122
83;116
84;140
85;134
86;143
87;103
88;134
89;159
90;170
91;165
92;141
93;157
94;149
95;163
96;152
97;169
98;159
99;176
100;183
101;181
102;178
103;189
104;193
105;215
106;201
107;174
108;198
109;191
110;183
111;190
112;229
113;195
114;193
115;196
116;219
117;264
118;294
119;373
120;594
121;955
122;1469
123;2377
124;3386
125;4315
126;5257
127;5634
128;5614
129;5050
130;4500
131;3701
132;2946
133;2346
134;1794
135;1369
136;1088
137;962
138;852
139;805
140;828
141;735
142;675
143;538
144;481
145;345
146;271
147;162
148;118
149;87
150;52
151;40
152;32
153;31
154;26
155;29
156;21
157;22
158;24
159;17
160;17
161;24
162;14
163;12
164;16
165;14
166;17
167;18
168;14
169;11
170;11
171;8
172;18
173;17
174;11
175;10
176;13
177;12
178;14
179;12
180;18
181;18
182;25
183;19
184;18
185;20
186;17
187;21
188;29
189;40
190;36
191;37
192;40
193;33
194;27
195;30
196;18
197;30
198;19
199;28
200;25
201;21
202;15
203;16
204;14
205;16
206;15
207;11
208;15
209;11
210;13
211;11
212;9
213;10
214;8
215;7
216;6
217;7
218;7
219;5
220;8
221;6
222;4
223;11
224;5
225;10
226;2
227;6
228;8
229;4
230;13
231;6
232;15
233;9
234;15
235;10
236;11
237;7
238;15
239;14
240;11
241;4
242;11
243;11
244;9
245;3
246;5
247;3
248;7
249;4
250;4
251;1
252;4
253;5
254;2
255;1
256;2
257;2
258;1
259;0
260;4
261;0
262;0
263;0
264;0
265;0
266;1
267;3
268;0
269;1
270;0
271;3
272;1
273;0
274;2
275;0
276;2
277;1
278;0
279;3
280;1
281;2
282;1
283;0
284;0
285;1
286;0
287;0
288;1
289;2
290;2
291;1
292;0
293;1
294;2
295;0
296;2
297;1
298;1
299;0
300;0
301;0
302;0
303;1
304;2
305;2
306;2
307;1
308;0
309;1
310;1
311;0
312;0
313;0
314;1
315;0
316;0
317;0
318;1
319;0
320;0
321;2
322;0
323;0
324;0
325;0
326;0
327;0
328;0
329;0
330;1
331;0
332;1
333;0
334;0
335;0
336;1
337;0
338;0
339;3
340;1
341;0
342;1
343;0
344;0
345;0
346;1
347;0
348;0
349;0
350;0
351;0
352;0
353;0
354;0
355;1
356;0
357;0
358;1
359;0
360;1
361;0
362;0
363;1
364;1
365;0
366;0
367;0
368;1
369;0
370;0
371;0
372;0
373;0
374;0
375;0
376;0
377;0
378;0
379;0
380;0
381;0
382;0
383;0
384;0
385;0
386;0
387;0
388;0
389;0
390;1
391;2
392;0
393;0
394;0
395;0
396;0
397;0
398;0
399;0
400;0
401;0
402;0
403;0
404;0
405;0
406;0
407;0
408;1
409;0
410;0
411;0
412;0
413;0
414;0
415;0
416;1
417;0
418;0
419;0
420;0
421;0
422;0
423;0
424;0
425;0
426;0
427;0
428;0
429;0
430;0
431;0
432;0
433;0
434;0
435;1
436;0
437;0
438;0
439;0
440;0
441;0
442;0
443;0
444;0
445;0
446;0
447;0
448;0
449;0
450;0
451;0
452;0
453;0
454;0
455;0
456;0
457;0
458;0
459;0
460;0
461;0
462;0
463;0
464;0
465;0
466;0
467;0
468;0
469;0
470;0
471;0
472;0
473;0
474;0
475;0
476;0
477;0
478;0
479;0
480;0
481;0
482;0
483;1
484;0
485;0
486;0
487;0
488;0
489;0
490;0
491;0
492;0
493;0
494;0
495;0
496;0
497;0
498;0
499;0
500;0
501;0
502;0
503;0
504;0
505;0
506;0
507;0
508;0
509;0
510;0
511;0
