n_1;N_1
0;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0
10;0
11;0
12;0
13;0
14;0
15;1
16;3
17;1
18;0
19;0
20;1
21;1
22;1
23;3
24;9
25;9
26;12
27;21
28;25
29;22
30;32
31;41
32;56
33;73
34;69
35;81
36;92
37;105
38;123
39;113
40;146
41;168
42;154
43;194
44;180
45;175
46;195
47;183
48;212
49;205
50;178
51;218
52;236
53;221
54;206
55;220
56;247
57;198
58;241
59;248
60;245
61;244
62;274
63;293
64;280
65;318
66;297
67;301
68;342
69;312
70;339
71;364
72;362
73;397
74;366
75;391
76;414
77;403
78;423
79;393
80;450
81;420
82;419
83;422
84;447
85;449
86;401
87;480
88;472
89;491
90;511
91;548
92;709
93;887
94;1233
95;1983
96;3068
97;4575
98;6271
99;8330
100;10132
101;11361
102;11920
103;11746
104;11078
105;9773
106;8436
107;7310
108;5993
109;5055
110;4313
111;3595
112;3090
113;2545
114;2109
115;1748
116;1391
117;1126
118;884
119;617
120;565
121;416
122;362
123;311
124;252
125;222
126;252
127;210
128;175
129;160
130;176
131;188
132;164
133;128
134;144
135;139
136;140
137;123
138;121
139;143
140;103
141;123
142;137
143;117
144;120
145;143
146;141
147;178
148;164
149;198
150;246
151;252
152;238
153;266
154;264
155;266
156;247
157;235
158;215
159;221
160;188
161;170
162;127
163;133
164;148
165;104
166;99
167;96
168;87
169;89
170;83
171;66
172;65
173;78
174;73
175;64
176;56
177;69
178;53
179;52
180;55
181;70
182;67
183;53
184;66
185;64
186;60
187;62
188;72
189;77
190;86
191;74
192;78
193;68
194;57
195;53
196;59
197;51
198;40
199;34
200;21
201;24
202;21
203;17
204;13
205;13
206;17
207;11
208;8
209;13
210;13
211;11
212;3
213;6
214;4
215;5
216;3
217;6
218;7
219;7
220;5
221;3
222;4
223;5
224;7
225;9
226;3
227;7
228;6
229;3
230;1
231;1
232;4
233;5
234;4
235;11
236;5
237;2
238;7
239;7
240;2
241;1
242;7
243;10
244;3
245;4
246;6
247;4
248;5
249;0
250;5
251;2
252;1
253;1
254;2
255;4
256;2
257;1
258;1
259;5
260;0
261;1
262;2
263;2
264;3
265;1
266;2
267;3
268;2
269;0
270;3
271;1
272;0
273;2
274;1
275;0
276;2
277;0
278;3
279;1
280;1
281;0
282;1
283;0
284;0
285;0
286;0
287;1
288;0
289;0
290;0
291;1
292;0
293;0
294;1
295;0
296;1
297;1
298;0
299;1
300;0
301;0
302;0
303;0
304;1
305;2
306;0
307;1
308;0
309;2
310;0
311;2
312;2
313;0
314;2
315;2
316;0
317;1
318;0
319;1
320;0
321;1
322;1
323;0
324;0
325;1
326;0
327;0
328;1
329;0
330;0
331;0
332;0
333;1
334;1
335;0
336;0
337;0
338;1
339;0
340;0
341;0
342;0
343;1
344;1
345;0
346;1
347;0
348;0
349;1
350;0
351;0
352;0
353;0
354;0
355;0
356;1
357;2
358;0
359;0
360;0
361;1
362;0
363;0
364;0
365;0
366;0
367;0
368;0
369;0
370;0
371;0
372;2
373;0
374;0
375;0
376;1
377;0
378;0
379;0
380;0
381;1
382;0
383;0
384;0
385;0
386;0
387;1
388;0
389;0
390;0
391;0
392;0
393;0
394;0
395;2
396;0
397;0
398;1
399;0
400;0
401;0
402;0
403;0
404;0
405;0
406;0
407;0
408;0
409;0
410;0
411;0
412;0
413;0
414;0
415;0
416;0
417;0
418;0
419;0
420;0
421;0
422;1
423;0
424;0
425;0
426;0
427;0
428;0
429;0
430;0
431;0
432;0
433;0
434;0
435;0
436;0
437;0
438;0
439;0
440;0
441;0
442;0
443;0
444;0
445;0
446;0
447;0
448;0
449;0
450;0
451;0
452;0
453;0
454;0
455;0
456;0
457;0
458;0
459;0
460;0
461;0
462;0
463;0
464;0
465;0
466;0
467;0
468;0
469;0
470;0
471;0
472;0
473;0
474;0
475;0
476;0
477;0
478;0
479;0
480;0
481;0
482;0
483;0
484;0
485;0
486;0
487;0
488;0
489;0
490;0
491;0
492;0
493;0
494;0
495;0
496;0
497;0
498;0
499;0
500;0
501;0
502;0
503;0
504;0
505;0
506;0
507;0
508;0
509;0
510;0
511;2
