n_1;N_1
0;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0
10;0
11;0
12;0
13;0
14;0
15;0
16;0
17;0
18;0
19;0
20;1
21;0
22;2
23;3
24;7
25;3
26;11
27;10
28;21
29;19
30;31
31;45
32;44
33;45
34;53
35;81
36;83
37;108
38;102
39;121
40;141
41;161
42;143
43;180
44;189
45;197
46;182
47;184
48;199
49;192
50;188
51;185
52;195
53;211
54;207
55;201
56;243
57;212
58;224
59;228
60;240
61;213
62;231
63;235
64;267
65;240
66;289
67;272
68;249
69;267
70;319
71;328
72;321
73;337
74;334
75;340
76;339
77;344
78;341
79;345
80;346
81;351
82;332
83;322
84;387
85;362
86;378
87;391
88;411
89;382
90;410
91;475
92;536
93;647
94;859
95;1229
96;1880
97;2734
98;4059
99;5648
100;7062
101;8600
102;9281
103;9478
104;9112
105;7973
106;6699
107;5782
108;4967
109;4118
110;3491
111;2925
112;2584
113;2158
114;1928
115;1507
116;1263
117;1061
118;873
119;663
120;520
121;440
122;352
123;291
124;271
125;258
126;265
127;292
128;314
129;412
130;514
131;683
132;778
133;953
134;1046
135;1036
136;979
137;933
138;761
139;654
140;553
141;371
142;313
143;289
144;273
145;236
146;236
147;238
148;243
149;232
150;275
151;228
152;234
153;220
154;199
155;187
156;197
157;161
158;144
159;152
160;141
161;116
162;113
163;102
164;93
165;85
166;91
167;70
168;52
169;68
170;46
171;52
172;57
173;61
174;36
175;50
176;53
177;58
178;47
179;54
180;67
181;70
182;65
183;67
184;56
185;57
186;55
187;65
188;71
189;53
190;62
191;48
192;57
193;54
194;58
195;52
196;42
197;38
198;30
199;32
200;41
201;36
202;26
203;13
204;15
205;22
206;27
207;16
208;13
209;13
210;17
211;14
212;12
213;15
214;12
215;12
216;10
217;7
218;7
219;6
220;6
221;13
222;10
223;13
224;11
225;13
226;13
227;13
228;8
229;8
230;12
231;5
232;8
233;7
234;4
235;6
236;5
237;9
238;3
239;2
240;6
241;0
242;3
243;5
244;5
245;3
246;1
247;2
248;2
249;2
250;4
251;3
252;1
253;3
254;2
255;2
256;3
257;1
258;3
259;3
260;2
261;6
262;1
263;2
264;1
265;2
266;0
267;3
268;1
269;1
270;0
271;1
272;0
273;2
274;0
275;2
276;0
277;1
278;0
279;1
280;2
281;0
282;3
283;0
284;1
285;0
286;0
287;2
288;0
289;1
290;0
291;0
292;0
293;0
294;0
295;0
296;0
297;2
298;2
299;3
300;0
301;1
302;2
303;1
304;2
305;0
306;0
307;1
308;0
309;2
310;0
311;0
312;0
313;1
314;0
315;1
316;0
317;0
318;0
319;1
320;0
321;2
322;0
323;0
324;1
325;0
326;1
327;2
328;0
329;0
330;0
331;0
332;0
333;0
334;0
335;0
336;0
337;0
338;0
339;1
340;0
341;1
342;1
343;0
344;0
345;0
346;0
347;0
348;0
349;0
350;0
351;0
352;0
353;1
354;0
355;1
356;0
357;0
358;0
359;1
360;0
361;0
362;0
363;0
364;0
365;0
366;0
367;0
368;0
369;0
370;0
371;0
372;0
373;0
374;0
375;0
376;0
377;0
378;0
379;0
380;0
381;0
382;0
383;0
384;0
385;0
386;1
387;0
388;1
389;0
390;0
391;0
392;0
393;0
394;0
395;0
396;0
397;0
398;0
399;0
400;0
401;0
402;0
403;0
404;1
405;0
406;0
407;0
408;1
409;0
410;0
411;0
412;0
413;0
414;0
415;0
416;0
417;0
418;0
419;0
420;0
421;0
422;0
423;0
424;1
425;0
426;0
427;0
428;0
429;0
430;0
431;0
432;0
433;0
434;0
435;0
436;0
437;0
438;0
439;0
440;0
441;0
442;0
443;0
444;0
445;0
446;0
447;0
448;0
449;0
450;0
451;0
452;0
453;0
454;1
455;0
456;0
457;0
458;1
459;0
460;0
461;0
462;0
463;0
464;0
465;0
466;0
467;0
468;0
469;0
470;0
471;0
472;0
473;0
474;0
475;0
476;0
477;0
478;0
479;0
480;0
481;0
482;0
483;0
484;0
485;0
486;0
487;0
488;0
489;0
490;0
491;0
492;0
493;0
494;0
495;0
496;0
497;0
498;0
499;0
500;0
501;0
502;0
503;0
504;0
505;0
506;0
507;0
508;0
509;0
510;0
511;1
