n_1;N_1
0;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0
10;0
11;0
12;0
13;0
14;0
15;0
16;0
17;0
18;0
19;0
20;0
21;0
22;0
23;0
24;0
25;1
26;0
27;1
28;1
29;1
30;3
31;2
32;4
33;4
34;2
35;3
36;8
37;4
38;9
39;14
40;16
41;11
42;15
43;20
44;17
45;25
46;27
47;24
48;31
49;37
50;58
51;66
52;89
53;103
54;164
55;192
56;239
57;224
58;236
59;256
60;284
61;230
62;235
63;192
64;186
65;134
66;131
67;79
68;81
69;46
70;49
71;26
72;28
73;28
74;18
75;13
76;14
77;15
78;14
79;7
80;12
81;8
82;5
83;13
84;13
85;9
86;9
87;12
88;6
89;5
90;5
91;5
92;14
93;10
94;9
95;15
96;9
97;10
98;7
99;8
100;16
101;14
102;8
103;17
104;17
105;14
106;16
107;15
108;14
109;19
110;16
111;8
112;13
113;13
114;9
115;11
116;9
117;18
118;25
119;20
120;34
121;36
122;38
123;74
124;96
125;138
126;154
127;200
128;210
129;199
130;181
131;166
132;130
133;128
134;88
135;76
136;62
137;36
138;47
139;29
140;35
141;34
142;39
143;39
144;30
145;17
146;20
147;14
148;9
149;13
150;11
151;10
152;10
153;8
154;8
155;12
156;7
157;8
158;9
159;8
160;11
161;3
162;5
163;9
164;7
165;8
166;11
167;10
168;9
169;8
170;4
171;10
172;6
173;2
174;5
175;5
176;7
177;10
178;8
179;11
180;5
181;9
182;7
183;11
184;13
185;4
186;6
187;6
188;8
189;9
190;7
191;5
192;5
193;6
194;7
195;7
196;7
197;5
198;9
199;5
200;3
201;6
202;6
203;10
204;9
205;5
206;4
207;2
208;5
209;5
210;3
211;8
212;6
213;4
214;5
215;4
216;5
217;7
218;6
219;2
220;3
221;4
222;3
223;2
224;5
225;6
226;3
227;3
228;5
229;7
230;3
231;1
232;6
233;2
234;7
235;5
236;3
237;3
238;5
239;5
240;7
241;5
242;3
243;4
244;6
245;2
246;7
247;2
248;1
249;8
250;2
251;3
252;1
253;5
254;5
255;4
256;2
257;6
258;1
259;0
260;5
261;0
262;5
263;2
264;3
265;3
266;3
267;5
268;0
269;2
270;3
271;5
272;3
273;3
274;3
275;3
276;1
277;4
278;2
279;1
280;1
281;3
282;3
283;6
284;1
285;1
286;2
287;3
288;4
289;4
290;1
291;5
292;2
293;2
294;2
295;3
296;4
297;3
298;0
299;1
300;2
301;5
302;2
303;3
304;3
305;1
306;3
307;1
308;6
309;4
310;0
311;3
312;5
313;0
314;3
315;4
316;1
317;4
318;1
319;0
320;0
321;2
322;4
323;5
324;5
325;2
326;3
327;5
328;0
329;6
330;5
331;1
332;3
333;1
334;3
335;2
336;3
337;2
338;5
339;3
340;2
341;5
342;3
343;4
344;5
345;5
346;12
347;17
348;21
349;26
350;41
351;57
352;57
353;49
354;55
355;38
356;31
357;27
358;25
359;10
360;11
361;4
362;2
363;1
364;3
365;0
366;0
367;0
368;0
369;0
370;0
371;1
372;0
373;2
374;0
375;3
376;0
377;0
378;0
379;1
380;0
381;0
382;0
383;0
384;0
385;0
386;1
387;2
388;0
389;3
390;8
391;4
392;9
393;7
394;9
395;11
396;11
397;6
398;7
399;6
400;4
401;3
402;3
403;1
404;2
405;2
406;0
407;0
408;0
409;0
410;0
411;0
412;0
413;0
414;0
415;0
416;0
417;0
418;0
419;0
420;0
421;1
422;0
423;0
424;0
425;0
426;0
427;0
428;0
429;0
430;0
431;0
432;0
433;0
434;0
435;0
436;0
437;0
438;0
439;0
440;0
441;0
442;0
443;0
444;0
445;0
446;0
447;0
448;0
449;0
450;0
451;0
452;1
453;0
454;0
455;0
456;0
457;0
458;0
459;0
460;0
461;0
462;0
463;0
464;0
465;0
466;0
467;0
468;0
469;0
470;0
471;0
472;1
473;0
474;0
475;0
476;0
477;0
478;0
479;0
480;0
481;0
482;0
483;0
484;0
485;0
486;0
487;0
488;0
489;0
490;0
491;0
492;0
493;0
494;0
495;0
496;0
497;0
498;0
499;0
500;0
501;0
502;0
503;0
504;0
505;0
506;0
507;0
508;0
509;0
510;0
511;1
