n_1;N_1
0;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0
10;0
11;0
12;0
13;0
14;0
15;0
16;0
17;0
18;0
19;0
20;0
21;0
22;0
23;0
24;0
25;0
26;0
27;1
28;1
29;0
30;0
31;1
32;2
33;4
34;7
35;5
36;4
37;5
38;2
39;10
40;12
41;12
42;14
43;8
44;22
45;16
46;17
47;17
48;19
49;11
50;12
51;18
52;9
53;20
54;13
55;21
56;11
57;9
58;20
59;17
60;16
61;10
62;11
63;11
64;17
65;16
66;10
67;27
68;15
69;16
70;22
71;14
72;17
73;8
74;16
75;18
76;7
77;26
78;17
79;24
80;14
81;19
82;12
83;13
84;15
85;19
86;14
87;16
88;18
89;12
90;11
91;21
92;17
93;14
94;19
95;19
96;28
97;13
98;18
99;14
100;20
101;22
102;25
103;31
104;30
105;20
106;22
107;29
108;21
109;24
110;19
111;27
112;37
113;32
114;21
115;27
116;30
117;36
118;43
119;35
120;41
121;46
122;31
123;36
124;48
125;53
126;61
127;63
128;67
129;56
130;46
131;48
132;39
133;38
134;42
135;42
136;26
137;20
138;19
139;28
140;19
141;19
142;21
143;24
144;18
145;33
146;22
147;17
148;30
149;23
150;33
151;32
152;26
153;31
154;29
155;20
156;16
157;25
158;20
159;16
160;14
161;22
162;21
163;19
164;26
165;11
166;15
167;14
168;28
169;14
170;13
171;24
172;20
173;19
174;27
175;25
176;28
177;36
178;28
179;27
180;29
181;22
182;20
183;20
184;25
185;13
186;19
187;15
188;11
189;9
190;21
191;19
192;15
193;16
194;13
195;11
196;14
197;16
198;17
199;20
200;14
201;20
202;22
203;11
204;22
205;19
206;29
207;21
208;28
209;23
210;21
211;23
212;18
213;22
214;16
215;17
216;10
217;16
218;21
219;11
220;11
221;13
222;12
223;11
224;13
225;13
226;18
227;16
228;13
229;11
230;13
231;15
232;17
233;19
234;9
235;12
236;11
237;17
238;30
239;20
240;11
241;18
242;9
243;21
244;13
245;22
246;16
247;20
248;28
249;21
250;27
251;19
252;37
253;61
254;72
255;135
256;205
257;309
258;438
259;548
260;649
261;570
262;581
263;501
264;422
265;352
266;239
267;175
268;123
269;77
270;44
271;26
272;15
273;13
274;4
275;6
276;3
277;10
278;9
279;10
280;11
281;12
282;11
283;11
284;24
285;28
286;31
287;51
288;71
289;89
290;98
291;86
292;78
293;83
294;46
295;58
296;43
297;33
298;17
299;12
300;7
301;10
302;2
303;3
304;1
305;0
306;0
307;0
308;2
309;0
310;0
311;2
312;1
313;0
314;0
315;0
316;2
317;0
318;1
319;1
320;0
321;0
322;1
323;1
324;0
325;0
326;0
327;1
328;0
329;0
330;0
331;1
332;0
333;0
334;1
335;1
336;0
337;1
338;0
339;0
340;0
341;0
342;0
343;2
344;0
345;1
346;0
347;0
348;1
349;1
350;0
351;0
352;1
353;0
354;1
355;0
356;0
357;0
358;0
359;0
360;0
361;0
362;0
363;0
364;1
365;0
366;0
367;0
368;1
369;0
370;0
371;0
372;0
373;0
374;1
375;0
376;0
377;0
378;0
379;0
380;0
381;0
382;0
383;0
384;0
385;0
386;0
387;0
388;0
389;0
390;0
391;1
392;2
393;0
394;2
395;0
396;0
397;0
398;0
399;0
400;0
401;0
402;1
403;0
404;0
405;1
406;0
407;0
408;0
409;0
410;0
411;0
412;0
413;0
414;1
415;0
416;0
417;0
418;0
419;0
420;0
421;0
422;0
423;1
424;0
425;0
426;0
427;0
428;0
429;0
430;0
431;0
432;0
433;1
434;0
435;0
436;0
437;0
438;0
439;0
440;0
441;0
442;0
443;0
444;0
445;0
446;0
447;0
448;0
449;0
450;0
451;0
452;0
453;0
454;0
455;0
456;0
457;0
458;0
459;0
460;0
461;0
462;0
463;0
464;0
465;1
466;0
467;0
468;0
469;0
470;0
471;0
472;0
473;0
474;0
475;0
476;0
477;0
478;0
479;0
480;1
481;0
482;0
483;0
484;0
485;0
486;0
487;0
488;0
489;0
490;0
491;0
492;0
493;0
494;0
495;0
496;0
497;0
498;0
499;0
500;0
501;0
502;0
503;0
504;0
505;0
506;0
507;0
508;0
509;0
510;0
511;1
