n_1;N_1
0;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0
10;0
11;0
12;0
13;0
14;0
15;0
16;1
17;1
18;0
19;0
20;0
21;0
22;1
23;1
24;0
25;0
26;4
27;2
28;8
29;7
30;11
31;22
32;18
33;24
34;26
35;39
36;38
37;40
38;55
39;68
40;73
41;103
42;88
43;109
44;100
45;98
46;96
47;110
48;99
49;113
50;100
51;111
52;110
53;130
54;112
55;103
56;114
57;117
58;112
59;109
60;99
61;115
62;111
63;116
64;154
65;137
66;142
67;127
68;130
69;138
70;154
71;130
72;144
73;139
74;198
75;153
76;169
77;154
78;161
79;177
80;194
81;180
82;176
83;189
84;187
85;185
86;195
87;189
88;208
89;195
90;203
91;216
92;264
93;237
94;236
95;230
96;265
97;308
98;287
99;287
100;268
101;237
102;269
103;272
104;311
105;310
106;295
107;323
108;340
109;355
110;440
111;633
112;942
113;1546
114;2389
115;3498
116;4882
117;6049
118;6798
119;6928
120;6925
121;6125
122;5361
123;4362
124;3538
125;2923
126;2336
127;1863
128;1615
129;1426
130;1325
131;1186
132;1136
133;899
134;724
135;566
136;445
137;350
138;255
139;157
140;107
141;84
142;78
143;56
144;32
145;47
146;41
147;44
148;43
149;36
150;30
151;24
152;32
153;37
154;22
155;31
156;30
157;31
158;21
159;17
160;35
161;27
162;29
163;29
164;28
165;20
166;23
167;19
168;28
169;30
170;25
171;42
172;36
173;47
174;43
175;60
176;48
177;63
178;40
179;59
180;79
181;61
182;50
183;56
184;46
185;38
186;44
187;29
188;40
189;40
190;35
191;26
192;20
193;24
194;21
195;24
196;27
197;19
198;16
199;16
200;18
201;10
202;19
203;16
204;10
205;11
206;15
207;20
208;26
209;21
210;17
211;19
212;19
213;20
214;19
215;14
216;12
217;10
218;8
219;13
220;18
221;22
222;11
223;18
224;22
225;16
226;17
227;11
228;10
229;10
230;4
231;13
232;6
233;8
234;12
235;3
236;7
237;5
238;3
239;2
240;1
241;3
242;3
243;2
244;1
245;1
246;1
247;1
248;1
249;0
250;1
251;0
252;5
253;3
254;1
255;1
256;0
257;2
258;0
259;4
260;1
261;1
262;1
263;2
264;3
265;0
266;1
267;0
268;0
269;0
270;0
271;2
272;1
273;0
274;3
275;3
276;0
277;1
278;1
279;1
280;2
281;0
282;1
283;2
284;2
285;0
286;2
287;2
288;1
289;0
290;0
291;1
292;0
293;2
294;1
295;1
296;0
297;0
298;0
299;1
300;0
301;2
302;2
303;0
304;1
305;0
306;1
307;1
308;0
309;0
310;1
311;0
312;2
313;0
314;0
315;0
316;1
317;0
318;0
319;1
320;0
321;0
322;0
323;1
324;2
325;1
326;0
327;0
328;0
329;0
330;1
331;1
332;0
333;0
334;0
335;0
336;0
337;0
338;0
339;0
340;0
341;0
342;1
343;0
344;0
345;1
346;0
347;1
348;1
349;1
350;0
351;0
352;0
353;0
354;0
355;1
356;0
357;1
358;0
359;0
360;0
361;0
362;0
363;0
364;0
365;0
366;0
367;0
368;0
369;0
370;0
371;0
372;0
373;0
374;0
375;0
376;1
377;0
378;0
379;0
380;0
381;0
382;0
383;0
384;0
385;0
386;1
387;0
388;0
389;0
390;1
391;0
392;0
393;0
394;0
395;0
396;0
397;0
398;0
399;1
400;1
401;0
402;0
403;0
404;0
405;0
406;0
407;0
408;0
409;0
410;0
411;0
412;0
413;0
414;0
415;0
416;0
417;0
418;0
419;0
420;1
421;0
422;0
423;0
424;0
425;0
426;0
427;0
428;0
429;0
430;0
431;0
432;0
433;1
434;0
435;0
436;0
437;0
438;0
439;0
440;0
441;0
442;0
443;0
444;0
445;0
446;0
447;0
448;0
449;0
450;0
451;0
452;0
453;0
454;0
455;0
456;0
457;0
458;0
459;0
460;0
461;0
462;0
463;0
464;0
465;0
466;0
467;0
468;0
469;0
470;0
471;0
472;0
473;0
474;0
475;0
476;0
477;0
478;0
479;0
480;0
481;0
482;0
483;0
484;0
485;0
486;0
487;0
488;0
489;0
490;0
491;0
492;0
493;0
494;0
495;0
496;0
497;0
498;0
499;0
500;0
501;0
502;0
503;0
504;0
505;0
506;0
507;0
508;0
509;0
510;0
511;1
