n_1;N_1
0;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0
10;0
11;0
12;0
13;0
14;0
15;0
16;0
17;0
18;0
19;1
20;0
21;0
22;0
23;0
24;0
25;0
26;1
27;0
28;1
29;0
30;0
31;2
32;4
33;6
34;6
35;7
36;9
37;10
38;9
39;24
40;14
41;11
42;14
43;20
44;13
45;27
46;24
47;24
48;29
49;27
50;19
51;41
52;39
53;30
54;20
55;31
56;28
57;33
58;28
59;28
60;25
61;28
62;22
63;24
64;31
65;17
66;17
67;28
68;19
69;32
70;31
71;24
72;21
73;27
74;32
75;33
76;24
77;37
78;25
79;30
80;38
81;33
82;34
83;28
84;30
85;36
86;27
87;28
88;35
89;34
90;28
91;47
92;36
93;23
94;37
95;34
96;34
97;32
98;35
99;33
100;45
101;48
102;44
103;56
104;50
105;52
106;51
107;56
108;41
109;60
110;46
111;50
112;52
113;44
114;55
115;56
116;53
117;47
118;52
119;77
120;71
121;67
122;85
123;135
124;148
125;204
126;234
127;281
128;281
129;282
130;227
131;229
132;184
133;177
134;139
135;130
136;118
137;109
138;110
139;133
140;127
141;137
142;144
143;145
144;134
145;131
146;96
147;95
148;87
149;70
150;72
151;74
152;66
153;64
154;78
155;57
156;104
157;131
158;173
159;301
160;435
161;657
162;724
163;862
164;894
165;826
166;783
167;655
168;567
169;381
170;308
171;216
172;159
173;96
174;62
175;59
176;39
177;41
178;50
179;35
180;39
181;53
182;32
183;29
184;37
185;67
186;96
187;121
188;169
189;224
190;351
191;393
192;536
193;572
194;496
195;459
196;421
197;319
198;259
199;217
200;166
201;101
202;69
203;43
204;13
205;21
206;10
207;10
208;5
209;6
210;6
211;0
212;6
213;6
214;10
215;10
216;4
217;12
218;14
219;20
220;30
221;34
222;40
223;30
224;42
225;48
226;44
227;35
228;38
229;20
230;17
231;12
232;7
233;11
234;5
235;4
236;6
237;5
238;6
239;5
240;4
241;3
242;1
243;2
244;3
245;1
246;1
247;3
248;2
249;3
250;6
251;4
252;1
253;2
254;2
255;2
256;4
257;5
258;1
259;2
260;1
261;1
262;2
263;0
264;3
265;2
266;3
267;2
268;1
269;2
270;1
271;1
272;2
273;3
274;3
275;0
276;0
277;2
278;4
279;2
280;1
281;2
282;3
283;1
284;2
285;3
286;2
287;2
288;2
289;2
290;0
291;1
292;1
293;1
294;2
295;1
296;2
297;2
298;0
299;2
300;2
301;2
302;3
303;2
304;1
305;2
306;2
307;0
308;1
309;2
310;0
311;0
312;0
313;2
314;0
315;0
316;0
317;0
318;0
319;1
320;0
321;0
322;0
323;0
324;1
325;0
326;0
327;2
328;1
329;1
330;1
331;1
332;0
333;1
334;2
335;0
336;3
337;0
338;0
339;0
340;0
341;2
342;0
343;1
344;0
345;1
346;0
347;0
348;0
349;2
350;1
351;0
352;1
353;0
354;0
355;1
356;1
357;1
358;1
359;0
360;0
361;0
362;0
363;0
364;1
365;0
366;0
367;0
368;1
369;0
370;0
371;1
372;0
373;0
374;1
375;0
376;0
377;0
378;0
379;0
380;1
381;0
382;0
383;0
384;0
385;0
386;0
387;0
388;0
389;0
390;0
391;0
392;0
393;0
394;0
395;0
396;0
397;0
398;0
399;0
400;0
401;1
402;0
403;1
404;0
405;0
406;0
407;0
408;0
409;0
410;0
411;0
412;0
413;0
414;0
415;0
416;0
417;0
418;0
419;0
420;0
421;0
422;0
423;0
424;0
425;0
426;0
427;0
428;0
429;0
430;0
431;0
432;0
433;0
434;1
435;0
436;0
437;0
438;0
439;0
440;0
441;0
442;0
443;0
444;0
445;0
446;0
447;0
448;0
449;0
450;0
451;0
452;0
453;0
454;0
455;0
456;0
457;0
458;0
459;0
460;0
461;0
462;0
463;0
464;0
465;0
466;0
467;0
468;0
469;0
470;0
471;0
472;0
473;0
474;0
475;0
476;0
477;0
478;0
479;0
480;0
481;0
482;0
483;0
484;0
485;0
486;0
487;0
488;0
489;0
490;0
491;0
492;0
493;0
494;0
495;0
496;0
497;0
498;0
499;0
500;0
501;0
502;0
503;0
504;0
505;0
506;0
507;0
508;0
509;0
510;0
511;0
