n_1;N_1
0;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0
10;0
11;0
12;0
13;0
14;0
15;0
16;1
17;0
18;0
19;0
20;0
21;0
22;0
23;0
24;0
25;0
26;0
27;0
28;2
29;3
30;8
31;3
32;6
33;7
34;8
35;12
36;15
37;11
38;20
39;25
40;15
41;20
42;20
43;21
44;35
45;40
46;27
47;33
48;28
49;31
50;36
51;34
52;36
53;28
54;27
55;38
56;42
57;35
58;32
59;38
60;33
61;29
62;37
63;37
64;37
65;32
66;42
67;39
68;30
69;42
70;35
71;39
72;35
73;32
74;43
75;44
76;39
77;39
78;49
79;63
80;40
81;50
82;44
83;46
84;50
85;57
86;54
87;51
88;55
89;51
90;48
91;55
92;53
93;58
94;57
95;72
96;72
97;81
98;72
99;105
100;114
101;115
102;152
103;138
104;155
105;139
106;119
107;133
108;125
109;133
110;141
111;140
112;136
113;111
114;132
115;133
116;143
117;173
118;191
119;246
120;396
121;617
122;991
123;1457
124;2180
125;2826
126;3237
127;3717
128;3736
129;3548
130;3337
131;3174
132;3068
133;3045
134;3121
135;3093
136;3062
137;2945
138;2577
139;2249
140;1903
141;1593
142;1217
143;1029
144;682
145;521
146;411
147;348
148;267
149;249
150;273
151;192
152;167
153;136
154;97
155;74
156;55
157;56
158;32
159;34
160;31
161;34
162;32
163;26
164;40
165;28
166;24
167;27
168;20
169;18
170;15
171;14
172;12
173;9
174;14
175;7
176;15
177;13
178;12
179;10
180;6
181;14
182;18
183;7
184;15
185;22
186;16
187;28
188;26
189;27
190;23
191;29
192;40
193;43
194;37
195;37
196;25
197;36
198;33
199;25
200;32
201;26
202;20
203;32
204;25
205;18
206;19
207;21
208;15
209;13
210;15
211;15
212;17
213;12
214;14
215;17
216;9
217;10
218;12
219;9
220;13
221;16
222;13
223;12
224;17
225;8
226;13
227;4
228;13
229;4
230;11
231;12
232;8
233;9
234;6
235;5
236;10
237;6
238;9
239;6
240;11
241;5
242;7
243;6
244;8
245;14
246;9
247;10
248;4
249;7
250;6
251;8
252;6
253;9
254;2
255;6
256;0
257;6
258;3
259;2
260;0
261;2
262;1
263;1
264;1
265;0
266;2
267;0
268;2
269;2
270;2
271;3
272;0
273;4
274;2
275;1
276;2
277;0
278;1
279;0
280;2
281;1
282;0
283;1
284;1
285;0
286;4
287;1
288;0
289;1
290;0
291;0
292;0
293;2
294;0
295;1
296;1
297;2
298;1
299;1
300;0
301;0
302;0
303;0
304;1
305;0
306;2
307;0
308;0
309;2
310;0
311;0
312;0
313;2
314;0
315;1
316;0
317;0
318;0
319;0
320;0
321;2
322;0
323;1
324;0
325;0
326;0
327;1
328;2
329;0
330;0
331;0
332;1
333;0
334;0
335;0
336;0
337;1
338;1
339;0
340;1
341;0
342;2
343;0
344;0
345;0
346;0
347;1
348;0
349;0
350;0
351;0
352;1
353;1
354;0
355;0
356;0
357;0
358;1
359;0
360;1
361;1
362;1
363;1
364;0
365;1
366;0
367;3
368;0
369;0
370;1
371;0
372;0
373;0
374;0
375;0
376;0
377;0
378;0
379;0
380;1
381;0
382;2
383;0
384;0
385;0
386;0
387;0
388;0
389;0
390;0
391;0
392;0
393;0
394;0
395;1
396;0
397;0
398;0
399;1
400;0
401;0
402;0
403;0
404;0
405;1
406;0
407;0
408;0
409;1
410;0
411;1
412;0
413;0
414;0
415;0
416;0
417;0
418;0
419;0
420;0
421;0
422;0
423;0
424;0
425;0
426;0
427;0
428;0
429;0
430;0
431;0
432;0
433;0
434;0
435;0
436;0
437;0
438;0
439;0
440;0
441;0
442;0
443;0
444;0
445;0
446;0
447;0
448;0
449;0
450;0
451;0
452;0
453;0
454;0
455;0
456;0
457;0
458;0
459;0
460;0
461;0
462;0
463;0
464;0
465;0
466;0
467;0
468;0
469;0
470;0
471;0
472;1
473;0
474;0
475;0
476;0
477;0
478;0
479;0
480;0
481;0
482;0
483;0
484;0
485;0
486;0
487;0
488;0
489;0
490;0
491;0
492;0
493;0
494;0
495;0
496;0
497;0
498;0
499;0
500;0
501;0
502;0
503;0
504;0
505;0
506;0
507;0
508;0
509;0
510;0
511;2
