n_1;N_1
0;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0
10;0
11;0
12;0
13;0
14;0
15;0
16;0
17;0
18;0
19;0
20;0
21;0
22;0
23;0
24;0
25;0
26;0
27;0
28;2
29;0
30;3
31;2
32;3
33;1
34;7
35;6
36;6
37;8
38;9
39;6
40;12
41;11
42;21
43;18
44;18
45;24
46;13
47;17
48;25
49;23
50;31
51;38
52;57
53;76
54;136
55;174
56;234
57;297
58;349
59;405
60;463
61;446
62;462
63;448
64;423
65;387
66;334
67;286
68;253
69;190
70;152
71;108
72;93
73;80
74;62
75;45
76;29
77;26
78;17
79;18
80;12
81;10
82;9
83;3
84;7
85;4
86;3
87;10
88;6
89;3
90;7
91;3
92;6
93;10
94;6
95;6
96;4
97;12
98;3
99;8
100;8
101;8
102;8
103;9
104;5
105;12
106;10
107;12
108;10
109;6
110;16
111;17
112;12
113;10
114;15
115;11
116;12
117;16
118;8
119;18
120;21
121;25
122;47
123;49
124;76
125;109
126;126
127;142
128;123
129;139
130;122
131;106
132;85
133;70
134;47
135;58
136;32
137;28
138;28
139;35
140;31
141;29
142;32
143;38
144;26
145;11
146;24
147;16
148;15
149;22
150;15
151;20
152;15
153;18
154;23
155;11
156;11
157;13
158;11
159;6
160;9
161;10
162;4
163;6
164;14
165;9
166;8
167;6
168;10
169;7
170;7
171;8
172;6
173;9
174;10
175;8
176;9
177;13
178;7
179;8
180;8
181;5
182;3
183;5
184;6
185;9
186;6
187;3
188;2
189;7
190;7
191;6
192;6
193;7
194;5
195;8
196;5
197;8
198;6
199;3
200;5
201;6
202;7
203;11
204;4
205;3
206;1
207;5
208;2
209;10
210;3
211;9
212;7
213;8
214;4
215;5
216;9
217;2
218;10
219;2
220;1
221;2
222;3
223;4
224;10
225;9
226;4
227;3
228;5
229;7
230;6
231;6
232;5
233;4
234;6
235;6
236;5
237;3
238;7
239;8
240;4
241;3
242;4
243;7
244;6
245;3
246;0
247;4
248;3
249;3
250;5
251;3
252;4
253;1
254;3
255;3
256;4
257;4
258;3
259;2
260;3
261;6
262;3
263;5
264;2
265;3
266;1
267;4
268;1
269;0
270;2
271;2
272;7
273;6
274;5
275;3
276;2
277;4
278;2
279;0
280;5
281;4
282;3
283;5
284;1
285;4
286;2
287;1
288;3
289;3
290;4
291;3
292;7
293;2
294;3
295;1
296;2
297;1
298;1
299;1
300;4
301;3
302;2
303;3
304;2
305;1
306;0
307;1
308;2
309;1
310;1
311;1
312;2
313;0
314;1
315;3
316;2
317;1
318;3
319;2
320;3
321;2
322;1
323;5
324;1
325;4
326;0
327;2
328;2
329;0
330;1
331;2
332;3
333;2
334;3
335;1
336;2
337;2
338;0
339;1
340;4
341;3
342;3
343;3
344;0
345;2
346;1
347;1
348;1
349;0
350;3
351;2
352;2
353;0
354;1
355;0
356;1
357;1
358;4
359;9
360;5
361;15
362;17
363;26
364;32
365;32
366;37
367;39
368;35
369;33
370;15
371;23
372;20
373;6
374;14
375;10
376;3
377;4
378;0
379;1
380;0
381;1
382;1
383;0
384;2
385;0
386;0
387;0
388;1
389;1
390;0
391;0
392;0
393;0
394;1
395;0
396;0
397;0
398;0
399;0
400;0
401;0
402;1
403;3
404;0
405;2
406;2
407;4
408;9
409;10
410;5
411;12
412;7
413;2
414;4
415;2
416;3
417;6
418;2
419;2
420;3
421;2
422;0
423;0
424;1
425;1
426;0
427;0
428;0
429;1
430;0
431;0
432;0
433;0
434;0
435;0
436;0
437;0
438;0
439;0
440;0
441;0
442;0
443;0
444;0
445;0
446;0
447;0
448;0
449;0
450;0
451;0
452;0
453;0
454;0
455;0
456;1
457;0
458;0
459;0
460;0
461;0
462;0
463;0
464;0
465;0
466;0
467;0
468;0
469;0
470;0
471;0
472;0
473;0
474;0
475;0
476;0
477;0
478;0
479;0
480;0
481;0
482;0
483;0
484;0
485;0
486;0
487;0
488;0
489;0
490;0
491;0
492;0
493;0
494;0
495;0
496;0
497;0
498;0
499;0
500;0
501;0
502;1
503;0
504;0
505;0
506;0
507;0
508;0
509;0
510;0
511;0
