n_1;N_1
0;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0
10;0
11;0
12;0
13;0
14;0
15;5
16;1
17;3
18;1
19;0
20;1
21;1
22;0
23;0
24;0
25;2
26;1
27;2
28;6
29;5
30;9
31;12
32;19
33;20
34;21
35;27
36;34
37;37
38;47
39;54
40;70
41;73
42;88
43;72
44;105
45;101
46;106
47;108
48;126
49;119
50;132
51;127
52;125
53;136
54;112
55;113
56;122
57;120
58;120
59;130
60;107
61;120
62;132
63;120
64;136
65;174
66;205
67;273
68;440
69;701
70;1099
71;1614
72;2273
73;2919
74;3393
75;3730
76;3781
77;3718
78;3382
79;3235
80;2976
81;2542
82;2079
83;1693
84;1369
85;1019
86;736
87;548
88;365
89;269
90;196
91;127
92;83
93;59
94;31
95;25
96;20
97;12
98;17
99;17
100;18
101;22
102;23
103;25
104;27
105;17
106;16
107;19
108;24
109;27
110;24
111;27
112;31
113;27
114;28
115;38
116;20
117;35
118;31
119;33
120;25
121;25
122;29
123;26
124;28
125;38
126;40
127;43
128;36
129;47
130;28
131;37
132;28
133;28
134;16
135;30
136;20
137;20
138;22
139;29
140;17
141;13
142;21
143;20
144;18
145;16
146;12
147;8
148;9
149;6
150;7
151;6
152;4
153;5
154;3
155;5
156;1
157;1
158;1
159;0
160;6
161;2
162;5
163;2
164;4
165;5
166;0
167;1
168;2
169;1
170;2
171;5
172;3
173;2
174;5
175;2
176;1
177;1
178;0
179;3
180;2
181;5
182;5
183;4
184;3
185;2
186;4
187;3
188;2
189;2
190;2
191;5
192;3
193;2
194;5
195;3
196;3
197;2
198;1
199;2
200;0
201;2
202;5
203;3
204;3
205;3
206;3
207;1
208;1
209;1
210;1
211;2
212;0
213;0
214;1
215;5
216;1
217;0
218;4
219;2
220;2
221;2
222;2
223;4
224;2
225;2
226;0
227;1
228;0
229;0
230;0
231;2
232;2
233;2
234;3
235;0
236;1
237;3
238;3
239;0
240;5
241;3
242;2
243;1
244;0
245;1
246;0
247;1
248;1
249;0
250;1
251;1
252;3
253;1
254;1
255;2
256;1
257;1
258;2
259;1
260;0
261;1
262;2
263;2
264;0
265;3
266;4
267;2
268;2
269;2
270;2
271;4
272;1
273;1
274;4
275;2
276;0
277;0
278;1
279;2
280;2
281;2
282;1
283;1
284;1
285;0
286;4
287;0
288;1
289;2
290;0
291;0
292;0
293;0
294;1
295;0
296;1
297;0
298;4
299;0
300;2
301;1
302;0
303;1
304;0
305;1
306;1
307;0
308;0
309;0
310;1
311;0
312;0
313;2
314;0
315;0
316;0
317;0
318;0
319;0
320;1
321;1
322;0
323;0
324;0
325;1
326;1
327;0
328;2
329;1
330;0
331;1
332;1
333;0
334;2
335;0
336;1
337;1
338;1
339;1
340;0
341;0
342;0
343;0
344;1
345;0
346;2
347;0
348;0
349;1
350;2
351;0
352;0
353;0
354;0
355;0
356;0
357;0
358;0
359;0
360;0
361;1
362;1
363;0
364;1
365;0
366;0
367;0
368;0
369;0
370;0
371;0
372;0
373;0
374;0
375;1
376;0
377;0
378;0
379;0
380;0
381;1
382;0
383;0
384;0
385;0
386;0
387;0
388;0
389;0
390;0
391;1
392;0
393;0
394;0
395;0
396;0
397;0
398;0
399;0
400;0
401;1
402;1
403;0
404;0
405;0
406;0
407;1
408;0
409;1
410;0
411;0
412;0
413;0
414;0
415;0
416;0
417;0
418;0
419;0
420;0
421;0
422;0
423;0
424;0
425;0
426;0
427;0
428;0
429;0
430;0
431;0
432;0
433;0
434;0
435;0
436;0
437;0
438;0
439;0
440;0
441;0
442;0
443;0
444;0
445;0
446;0
447;0
448;1
449;0
450;0
451;0
452;0
453;0
454;0
455;0
456;0
457;0
458;0
459;1
460;0
461;0
462;0
463;0
464;0
465;0
466;0
467;0
468;0
469;0
470;0
471;0
472;0
473;0
474;0
475;0
476;0
477;0
478;0
479;0
480;0
481;0
482;0
483;0
484;0
485;0
486;0
487;0
488;0
489;0
490;0
491;0
492;0
493;0
494;0
495;0
496;0
497;0
498;0
499;0
500;0
501;0
502;0
503;0
504;0
505;0
506;0
507;0
508;0
509;0
510;0
511;2
