n_1;N_1
0;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0
10;0
11;0
12;0
13;0
14;0
15;0
16;0
17;0
18;1
19;0
20;0
21;0
22;0
23;0
24;0
25;0
26;0
27;0
28;0
29;1
30;1
31;1
32;2
33;3
34;3
35;3
36;5
37;6
38;6
39;7
40;13
41;9
42;8
43;9
44;16
45;18
46;18
47;11
48;19
49;18
50;19
51;20
52;18
53;16
54;13
55;19
56;21
57;18
58;14
59;10
60;22
61;22
62;18
63;20
64;18
65;13
66;13
67;17
68;12
69;22
70;17
71;30
72;28
73;21
74;12
75;15
76;24
77;16
78;17
79;29
80;24
81;25
82;25
83;19
84;23
85;26
86;31
87;33
88;36
89;38
90;28
91;30
92;35
93;37
94;21
95;38
96;42
97;34
98;28
99;36
100;32
101;35
102;39
103;39
104;35
105;46
106;44
107;57
108;32
109;44
110;47
111;56
112;56
113;66
114;67
115;72
116;76
117;90
118;106
119;85
120;96
121;103
122;100
123;87
124;119
125;141
126;175
127;262
128;407
129;605
130;793
131;1036
132;1181
133;1217
134;1151
135;1133
136;938
137;762
138;622
139;439
140;351
141;220
142;158
143;133
144;122
145;157
146;215
147;378
148;457
149;636
150;810
151;872
152;880
153;947
154;784
155;810
156;623
157;528
158;375
159;289
160;230
161;142
162;94
163;61
164;45
165;32
166;26
167;24
168;26
169;28
170;47
171;63
172;71
173;69
174;76
175;66
176;88
177;81
178;67
179;56
180;53
181;48
182;45
183;23
184;23
185;9
186;14
187;9
188;4
189;8
190;6
191;4
192;6
193;5
194;2
195;3
196;1
197;3
198;3
199;0
200;0
201;4
202;2
203;7
204;7
205;3
206;5
207;1
208;6
209;5
210;8
211;6
212;6
213;10
214;12
215;6
216;5
217;8
218;5
219;5
220;3
221;4
222;3
223;4
224;1
225;4
226;4
227;2
228;0
229;2
230;2
231;7
232;4
233;1
234;2
235;1
236;2
237;3
238;3
239;3
240;4
241;2
242;2
243;4
244;4
245;1
246;0
247;2
248;3
249;5
250;2
251;2
252;2
253;1
254;3
255;3
256;0
257;2
258;1
259;4
260;1
261;3
262;3
263;1
264;1
265;3
266;1
267;2
268;3
269;4
270;1
271;3
272;0
273;2
274;0
275;2
276;0
277;1
278;0
279;2
280;1
281;2
282;3
283;4
284;2
285;4
286;2
287;2
288;0
289;2
290;2
291;1
292;1
293;2
294;3
295;0
296;0
297;2
298;2
299;0
300;1
301;0
302;0
303;0
304;1
305;0
306;0
307;1
308;0
309;2
310;0
311;0
312;0
313;0
314;0
315;2
316;0
317;1
318;0
319;2
320;2
321;1
322;1
323;1
324;0
325;3
326;0
327;2
328;2
329;2
330;1
331;0
332;0
333;0
334;1
335;1
336;0
337;0
338;0
339;0
340;2
341;0
342;0
343;1
344;0
345;0
346;0
347;0
348;0
349;1
350;1
351;0
352;1
353;0
354;0
355;0
356;1
357;0
358;1
359;0
360;1
361;0
362;0
363;0
364;1
365;0
366;0
367;0
368;0
369;0
370;0
371;0
372;0
373;2
374;0
375;1
376;0
377;0
378;0
379;1
380;0
381;1
382;1
383;1
384;0
385;0
386;0
387;0
388;0
389;0
390;0
391;0
392;0
393;0
394;0
395;0
396;0
397;0
398;0
399;0
400;0
401;0
402;1
403;0
404;0
405;0
406;0
407;0
408;0
409;0
410;0
411;0
412;0
413;0
414;0
415;0
416;0
417;0
418;0
419;0
420;0
421;0
422;0
423;0
424;0
425;0
426;0
427;0
428;0
429;0
430;0
431;0
432;0
433;0
434;0
435;0
436;0
437;0
438;0
439;0
440;0
441;0
442;0
443;0
444;0
445;0
446;0
447;0
448;0
449;0
450;0
451;0
452;0
453;0
454;0
455;0
456;0
457;0
458;0
459;0
460;0
461;0
462;0
463;0
464;0
465;0
466;0
467;0
468;0
469;0
470;0
471;0
472;0
473;0
474;0
475;0
476;0
477;0
478;0
479;0
480;0
481;0
482;0
483;0
484;0
485;0
486;0
487;0
488;0
489;0
490;0
491;0
492;0
493;0
494;0
495;0
496;0
497;0
498;0
499;0
500;0
501;0
502;0
503;0
504;0
505;0
506;0
507;0
508;0
509;0
510;0
511;0
