n_1;N_1
0;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0
10;0
11;0
12;0
13;0
14;0
15;0
16;2
17;0
18;0
19;0
20;0
21;0
22;0
23;1
24;0
25;0
26;2
27;1
28;7
29;7
30;7
31;14
32;12
33;12
34;20
35;20
36;22
37;34
38;38
39;51
40;53
41;66
42;73
43;76
44;86
45;65
46;72
47;99
48;85
49;103
50;86
51;94
52;85
53;79
54;80
55;76
56;97
57;90
58;96
59;84
60;85
61;81
62;101
63;101
64;91
65;82
66;103
67;113
68;82
69;93
70;104
71;97
72;98
73;102
74;130
75;89
76;119
77;108
78;113
79;98
80;106
81;110
82;102
83;101
84;120
85;112
86;107
87;135
88;132
89;129
90;111
91;126
92;116
93;125
94;133
95;135
96;127
97;123
98;133
99;155
100;148
101;121
102;165
103;160
104;151
105;172
106;199
107;190
108;203
109;204
110;189
111;218
112;206
113;186
114;208
115;205
116;200
117;208
118;199
119;223
120;231
121;239
122;258
123;353
124;376
125;430
126;472
127;561
128;655
129;930
130;1354
131;1882
132;2745
133;3682
134;4534
135;5209
136;5454
137;5186
138;4603
139;3921
140;3119
141;2453
142;1909
143;1385
144;972
145;855
146;765
147;732
148;836
149;782
150;763
151;695
152;637
153;493
154;366
155;305
156;196
157;162
158;76
159;65
160;53
161;39
162;27
163;28
164;31
165;24
166;22
167;14
168;15
169;19
170;15
171;11
172;16
173;9
174;13
175;17
176;5
177;14
178;6
179;14
180;11
181;16
182;9
183;15
184;12
185;12
186;17
187;11
188;8
189;19
190;9
191;25
192;18
193;13
194;23
195;15
196;25
197;24
198;21
199;23
200;35
201;42
202;33
203;30
204;34
205;36
206;43
207;23
208;29
209;24
210;32
211;17
212;20
213;12
214;11
215;19
216;13
217;16
218;11
219;14
220;10
221;12
222;13
223;11
224;6
225;6
226;13
227;12
228;11
229;8
230;9
231;11
232;9
233;6
234;7
235;3
236;5
237;3
238;9
239;8
240;8
241;5
242;9
243;8
244;7
245;9
246;10
247;9
248;3
249;18
250;10
251;4
252;8
253;6
254;15
255;10
256;4
257;11
258;4
259;6
260;2
261;6
262;6
263;4
264;2
265;6
266;6
267;3
268;4
269;1
270;5
271;3
272;4
273;4
274;4
275;1
276;1
277;1
278;0
279;2
280;1
281;1
282;1
283;1
284;1
285;1
286;2
287;1
288;1
289;1
290;0
291;0
292;0
293;1
294;0
295;1
296;0
297;0
298;0
299;1
300;0
301;2
302;0
303;1
304;1
305;3
306;0
307;0
308;1
309;2
310;0
311;1
312;1
313;1
314;0
315;0
316;0
317;0
318;0
319;0
320;0
321;0
322;1
323;0
324;0
325;0
326;1
327;0
328;1
329;0
330;0
331;0
332;1
333;1
334;0
335;1
336;0
337;0
338;0
339;0
340;1
341;2
342;0
343;0
344;0
345;0
346;1
347;1
348;0
349;1
350;0
351;1
352;0
353;0
354;0
355;1
356;0
357;0
358;1
359;0
360;0
361;0
362;0
363;0
364;1
365;0
366;1
367;0
368;0
369;1
370;0
371;0
372;0
373;1
374;0
375;0
376;0
377;0
378;0
379;0
380;0
381;0
382;0
383;0
384;0
385;0
386;0
387;0
388;1
389;1
390;1
391;0
392;0
393;0
394;1
395;0
396;0
397;1
398;0
399;0
400;0
401;0
402;1
403;0
404;0
405;0
406;0
407;0
408;0
409;1
410;0
411;0
412;0
413;0
414;0
415;0
416;0
417;0
418;0
419;0
420;0
421;0
422;0
423;0
424;0
425;0
426;0
427;0
428;0
429;0
430;0
431;1
432;0
433;0
434;0
435;0
436;0
437;0
438;0
439;0
440;0
441;0
442;0
443;0
444;0
445;0
446;0
447;0
448;0
449;0
450;0
451;0
452;0
453;0
454;1
455;0
456;0
457;0
458;0
459;0
460;0
461;0
462;0
463;0
464;0
465;0
466;0
467;0
468;0
469;0
470;0
471;0
472;0
473;0
474;0
475;0
476;0
477;0
478;0
479;0
480;0
481;0
482;0
483;1
484;0
485;0
486;0
487;0
488;0
489;0
490;0
491;0
492;0
493;0
494;0
495;0
496;0
497;0
498;0
499;0
500;0
501;0
502;0
503;0
504;0
505;0
506;0
507;0
508;0
509;0
510;0
511;0
