n_1;N_1
0;0
1;0
2;0
3;0
4;0
5;0
6;0
7;0
8;0
9;0
10;0
11;0
12;0
13;0
14;0
15;0
16;0
17;0
18;0
19;0
20;0
21;0
22;0
23;0
24;2
25;0
26;0
27;0
28;2
29;2
30;1
31;3
32;3
33;9
34;5
35;6
36;7
37;9
38;11
39;16
40;13
41;28
42;20
43;17
44;22
45;25
46;16
47;25
48;26
49;32
50;28
51;21
52;33
53;26
54;21
55;20
56;24
57;24
58;25
59;24
60;27
61;15
62;26
63;25
64;22
65;28
66;30
67;20
68;23
69;23
70;16
71;26
72;25
73;19
74;25
75;19
76;22
77;36
78;27
79;30
80;25
81;26
82;36
83;21
84;27
85;30
86;31
87;37
88;28
89;28
90;18
91;27
92;30
93;30
94;26
95;30
96;36
97;31
98;39
99;40
100;54
101;58
102;45
103;54
104;58
105;70
106;64
107;54
108;48
109;53
110;42
111;51
112;49
113;36
114;52
115;54
116;50
117;41
118;67
119;71
120;64
121;73
122;77
123;104
124;113
125;121
126;147
127;189
128;161
129;157
130;174
131;157
132;125
133;104
134;86
135;90
136;66
137;64
138;73
139;54
140;63
141;65
142;54
143;41
144;53
145;46
146;48
147;39
148;45
149;52
150;44
151;50
152;59
153;65
154;46
155;48
156;47
157;37
158;43
159;39
160;35
161;27
162;24
163;26
164;32
165;36
166;28
167;32
168;35
169;20
170;32
171;37
172;47
173;50
174;40
175;45
176;58
177;57
178;42
179;53
180;37
181;42
182;32
183;36
184;29
185;32
186;34
187;30
188;30
189;28
190;28
191;23
192;29
193;22
194;31
195;21
196;29
197;37
198;31
199;32
200;22
201;26
202;26
203;25
204;32
205;25
206;36
207;31
208;30
209;31
210;45
211;26
212;38
213;27
214;26
215;29
216;29
217;31
218;40
219;35
220;30
221;31
222;31
223;38
224;43
225;34
226;45
227;49
228;54
229;67
230;111
231;219
232;304
233;468
234;704
235;885
236;1060
237;1124
238;1061
239;948
240;818
241;671
242;454
243;388
244;258
245;163
246;105
247;52
248;23
249;28
250;10
251;19
252;16
253;9
254;12
255;17
256;18
257;30
258;35
259;43
260;73
261;113
262;131
263;143
264;153
265;161
266;137
267;135
268;97
269;72
270;50
271;32
272;31
273;11
274;7
275;5
276;3
277;5
278;2
279;3
280;1
281;3
282;1
283;1
284;1
285;3
286;2
287;1
288;2
289;0
290;1
291;1
292;2
293;1
294;1
295;0
296;2
297;1
298;1
299;0
300;0
301;1
302;1
303;2
304;1
305;2
306;1
307;0
308;0
309;1
310;0
311;1
312;1
313;0
314;0
315;0
316;2
317;1
318;1
319;1
320;0
321;1
322;0
323;0
324;2
325;0
326;1
327;0
328;0
329;0
330;0
331;0
332;1
333;2
334;0
335;2
336;0
337;0
338;0
339;0
340;0
341;0
342;0
343;1
344;1
345;0
346;1
347;1
348;1
349;2
350;1
351;1
352;1
353;2
354;0
355;1
356;1
357;0
358;1
359;0
360;0
361;1
362;0
363;0
364;1
365;0
366;3
367;0
368;1
369;0
370;1
371;0
372;0
373;1
374;0
375;0
376;0
377;1
378;1
379;0
380;1
381;0
382;1
383;0
384;0
385;1
386;1
387;0
388;0
389;0
390;0
391;1
392;0
393;0
394;1
395;0
396;0
397;0
398;0
399;0
400;0
401;0
402;0
403;0
404;0
405;1
406;0
407;0
408;0
409;0
410;0
411;0
412;1
413;0
414;1
415;0
416;0
417;0
418;0
419;0
420;0
421;1
422;0
423;0
424;0
425;0
426;0
427;0
428;0
429;0
430;1
431;0
432;0
433;1
434;0
435;1
436;0
437;0
438;0
439;0
440;0
441;0
442;0
443;0
444;0
445;2
446;0
447;0
448;0
449;1
450;0
451;0
452;0
453;0
454;0
455;0
456;0
457;0
458;0
459;0
460;0
461;0
462;0
463;0
464;0
465;0
466;0
467;0
468;0
469;0
470;0
471;0
472;0
473;0
474;0
475;0
476;0
477;0
478;0
479;0
480;1
481;0
482;0
483;0
484;0
485;0
486;0
487;0
488;0
489;0
490;0
491;0
492;0
493;0
494;0
495;0
496;0
497;0
498;0
499;0
500;0
501;0
502;0
503;0
504;0
505;0
506;0
507;0
508;0
509;0
510;0
511;2
